date,symbol,open,high,low,close,volume,turnover
2024-01-02,301369.SZ,57.91,57.91,56.56,56.56,7010.0,40323291.0
2024-01-03,301369.SZ,56.56,57.29,55.13,55.59,6266.0,35411909.0
2024-01-04,301369.SZ,55.64,55.9,55.07,55.29,4015.0,22483989.0
2024-01-05,301369.SZ,55.31,56.0,53.58,54.01,6253.0,34518064.0
2024-01-08,301369.SZ,54.01,54.04,52.41,52.41,5334.0,28566691.0
2024-01-09,301369.SZ,52.75,53.61,52.31,52.43,4487.0,24001655.0
2024-01-10,301369.SZ,52.37,52.91,51.35,51.88,4838.0,25477362.0
2024-01-11,301369.SZ,51.92,52.9,51.51,52.68,5791.0,30718406.0
2024-01-12,301369.SZ,52.7,53.01,51.55,51.67,5600.0,29595446.0
2024-01-15,301369.SZ,51.39,52.26,50.61,51.61,5157.0,26911734.0
2024-01-16,301369.SZ,51.61,51.86,50.48,51.22,5118.0,26477785.0
2024-01-17,301369.SZ,51.23,51.41,49.59,49.59,4991.0,25556549.0
2024-01-18,301369.SZ,49.54,50.06,48.01,49.76,7910.0,39195300.0
2024-01-19,301369.SZ,50.02,50.61,48.56,48.58,4901.0,24529264.0
2024-01-22,301369.SZ,48.57,49.38,44.96,45.41,7760.0,37037189.0
2024-01-23,301369.SZ,45.62,46.1,44.71,45.45,6474.0,29737877.0
2024-01-24,301369.SZ,46.13,46.13,43.5,45.31,7531.0,34180217.0
2024-01-25,301369.SZ,45.41,47.35,44.82,47.31,9605.0,45127717.0
2024-01-26,301369.SZ,47.32,49.9,46.59,46.92,16470.0,79946208.0
2024-01-29,301369.SZ,46.42,47.89,44.56,44.57,12130.0,56090662.0
2024-01-30,301369.SZ,43.96,44.88,42.89,42.9,8837.0,39144557.0
2024-01-31,301369.SZ,43.27,43.41,39.91,39.94,10597.0,44304447.0
2024-02-01,301369.SZ,39.43,40.76,38.71,39.5,10612.0,42696548.0
2024-02-02,301369.SZ,39.03,40.34,35.51,36.91,12316.0,47149233.0
2024-02-05,301369.SZ,36.59,36.59,30.72,31.51,15543.0,51602506.0
2024-02-06,301369.SZ,30.87,33.37,28.62,32.01,18271.0,57313936.0
2024-02-07,301369.SZ,31.91,32.41,29.65,30.29,20450.0,64895333.0
2024-02-08,301369.SZ,29.62,35.36,29.61,34.91,22968.0,75655088.0
2024-02-19,301369.SZ,35.21,36.91,35.21,36.77,17926.0,66176260.0
2024-02-20,301369.SZ,36.91,37.58,35.54,37.33,12175.0,45213946.0
2024-02-21,301369.SZ,36.78,39.2,36.42,37.7,14452.0,55938751.0
2024-02-22,301369.SZ,37.41,39.36,37.4,39.26,14640.0,57539710.0
2024-02-23,301369.SZ,40.11,41.54,39.42,41.34,16386.0,67468480.0
2024-02-26,301369.SZ,41.46,43.56,40.79,42.24,17261.0,73467286.0
2024-02-27,301369.SZ,42.01,43.66,41.16,43.66,14959.0,64550377.0
2024-02-28,301369.SZ,44.62,45.62,39.39,39.57,27097.0,118072661.0
2024-02-29,301369.SZ,38.41,42.81,38.21,42.11,21619.0,90901201.0
2024-03-01,301369.SZ,43.17,44.21,42.81,43.36,19165.0,84352340.0
2024-03-04,301369.SZ,43.17,43.79,41.79,43.48,15766.0,68630876.0
2024-03-05,301369.SZ,43.2,52.29,42.92,49.22,57024.0,288318221.0
2024-03-06,301369.SZ,47.66,48.14,45.18,47.07,47302.0,221662917.0
2024-03-07,301369.SZ,46.12,47.29,44.22,44.42,31575.0,146065584.0
2024-03-08,301369.SZ,44.61,46.26,44.01,46.01,25045.0,115313150.0
2024-03-11,301369.SZ,45.0,45.66,44.41,45.6,20473.0,93093619.0
2024-03-12,301369.SZ,45.4,46.4,45.02,45.53,18422.0,85082516.0
2024-03-13,301369.SZ,45.9,46.2,45.01,45.26,17360.0,80121551.0
2024-03-14,301369.SZ,44.64,45.08,43.23,44.01,17098.0,76568810.0
2024-03-15,301369.SZ,43.96,44.46,43.21,44.44,11384.0,50616957.0
2024-03-18,301369.SZ,44.44,46.11,44.42,46.11,19913.0,91506254.0
2024-03-19,301369.SZ,46.41,46.41,45.57,45.84,16382.0,76356124.0
2024-03-20,301369.SZ,46.41,46.96,45.89,46.8,18110.0,85314467.0
2024-03-21,301369.SZ,47.64,54.6,47.64,49.21,45399.0,232837645.0
2024-03-22,301369.SZ,48.37,59.17,48.03,59.17,95468.0,543940626.0
2024-03-25,301369.SZ,56.78,57.31,52.21,53.04,68564.0,375248614.0
2024-03-26,301369.SZ,51.91,53.83,50.21,50.51,41022.0,214243878.0
2024-03-27,301369.SZ,49.91,50.25,47.23,49.51,31417.0,154635657.0
2024-03-28,301369.SZ,48.61,51.33,48.51,51.08,31710.0,161882498.0
2024-03-29,301369.SZ,50.27,50.91,48.77,50.2,22220.0,112033643.0
2024-04-01,301369.SZ,50.29,51.4,50.29,50.87,20216.0,103695663.0
2024-04-02,301369.SZ,50.56,50.59,48.45,49.03,18876.0,94361325.0
2024-04-03,301369.SZ,48.53,52.61,48.53,52.51,36631.0,189171312.0
2024-04-08,301369.SZ,50.76,52.07,49.27,49.44,22574.0,115866970.0
2024-04-09,301369.SZ,49.44,50.29,44.49,46.7,24269.0,114899319.0
2024-04-10,301369.SZ,46.63,46.63,41.89,42.99,25977.0,114636269.0
2024-04-11,301369.SZ,42.35,43.64,42.03,42.1,13779.0,59841967.0
2024-04-12,301369.SZ,42.1,43.18,41.31,41.73,12964.0,55340363.0
2024-04-15,301369.SZ,41.04,42.39,38.28,39.41,16158.0,65290080.0
2024-04-16,301369.SZ,39.41,39.44,35.02,35.75,18758.0,69452525.0
2024-04-17,301369.SZ,36.87,39.11,36.66,38.98,18353.0,71573329.0
2024-04-18,301369.SZ,39.03,39.78,37.44,38.36,15217.0,59758941.0
2024-04-19,301369.SZ,38.36,38.64,37.53,37.66,10140.0,39033009.0
2024-04-22,301369.SZ,37.56,37.85,35.94,37.01,8186.0,30730298.0
2024-04-23,301369.SZ,38.14,39.6,38.01,39.24,17475.0,69105785.0
2024-04-24,301369.SZ,38.9,40.01,38.87,39.97,15248.0,61105603.0
2024-04-25,301369.SZ,39.42,41.16,39.02,40.37,13705.0,56054846.0
2024-04-26,301369.SZ,39.31,41.49,39.07,40.6,18788.0,76963696.0
2024-04-29,301369.SZ,40.63,42.37,40.51,42.1,15943.0,67372816.0
2024-04-30,301369.SZ,42.25,42.35,40.96,41.16,9872.0,41543689.0
2024-05-06,301369.SZ,41.88,42.54,41.52,41.83,9428.0,40138758.0
2024-05-07,301369.SZ,42.1,42.51,41.53,42.21,8996.0,38403839.0
2024-05-08,301369.SZ,42.21,42.71,41.41,41.56,8994.0,38258817.0
2024-05-09,301369.SZ,41.91,43.17,41.64,43.16,13432.0,57873815.0
2024-05-10,301369.SZ,42.47,42.91,40.51,40.64,18322.0,76951950.0
