date,symbol,open,high,low,close,volume,turnover
2024-01-02,920270.SH,12.47,12.73,11.86,12.69,26526.0,42622798.85
2024-01-03,920270.SH,12.5,12.75,12.21,12.43,11801.0,18878510.57
2024-01-04,920270.SH,12.65,12.65,12.09,12.14,14021.0,22217175.64
2024-01-05,920270.SH,12.15,12.26,11.04,11.33,27266.0,40447978.58
2024-01-08,920270.SH,11.49,11.49,11.11,11.13,14563.0,21188251.04
2024-01-09,920270.SH,10.93,11.3,10.76,11.02,11009.0,15786601.72
2024-01-10,920270.SH,11.14,11.38,10.84,11.23,4764.0,6886127.38
2024-01-11,920270.SH,11.27,11.38,10.94,11.21,4834.0,6949788.08
2024-01-12,920270.SH,11.13,11.22,9.99,9.99,12556.0,17151894.87
2024-01-15,920270.SH,9.98,9.98,9.51,9.51,8166.0,10326652.41
2024-01-16,920270.SH,9.52,11.67,9.26,11.67,16423.0,22698620.8
2024-01-17,920270.SH,11.87,13.63,11.67,12.28,41049.0,66743745.35
2024-01-18,920270.SH,11.58,14.25,11.4,13.75,62666.0,105611883.04
2024-01-19,920270.SH,14.5,14.82,13.42,13.98,58364.0,106143846.93
2024-01-22,920270.SH,13.58,13.92,12.76,13.24,29216.0,50117408.02
2024-01-23,920270.SH,13.3,13.58,12.32,13.13,29957.0,49751641.34
2024-01-24,920270.SH,13.0,13.03,11.67,12.28,34689.0,54841651.5
2024-01-25,920270.SH,11.61,12.08,11.1,11.38,33281.0,49243058.34
2024-01-26,920270.SH,11.42,12.15,10.93,11.73,24304.0,36685566.98
2024-01-29,920270.SH,11.86,11.86,9.65,9.75,27239.0,37540515.75
2024-01-30,920270.SH,9.52,10.22,9.18,10.0,11069.0,14154108.2
2024-01-31,920270.SH,10.25,10.67,9.98,10.26,16976.0,22961853.03
2024-02-01,920270.SH,10.33,10.42,9.51,9.73,11547.0,14955239.79
2024-02-02,920270.SH,10.09,10.09,9.23,9.79,17246.0,21792130.1
2024-02-05,920270.SH,9.75,9.75,8.09,8.92,23047.0,27416452.01
2024-02-06,920270.SH,8.44,10.32,8.27,9.96,22878.0,29495030.64
2024-02-07,920270.SH,10.17,10.42,9.19,9.25,22572.0,29345770.59
2024-02-08,920270.SH,9.17,9.51,8.43,8.73,12815.0,14929051.28
2024-02-19,920270.SH,8.99,9.02,8.68,8.95,8860.0,10364288.36
2024-02-20,920270.SH,8.77,9.47,8.77,9.36,10337.0,12566862.33
2024-02-21,920270.SH,9.28,10.37,9.17,9.52,19084.0,24565742.94
