date,symbol,open,high,low,close,volume,turnover
2024-01-02,000001.SZ,7.83,7.86,7.65,7.65,1158366.0,1075742252.45
2024-01-03,000001.SZ,7.63,7.66,7.59,7.64,733610.0,673673613.54
2024-01-04,000001.SZ,7.63,7.63,7.52,7.55,864194.0,787470082.37
2024-01-05,000001.SZ,7.54,7.88,7.51,7.71,1991622.0,1852659692.14
2024-01-08,000001.SZ,7.67,7.74,7.55,7.59,1121156.0,1029006548.73
2024-01-09,000001.SZ,7.6,7.63,7.53,7.62,766194.0,700375720.2
2024-01-10,000001.SZ,7.6,7.63,7.53,7.53,858621.0,783771150.01
2024-01-11,000001.SZ,7.52,7.66,7.47,7.61,934686.0,853890237.29
2024-01-12,000001.SZ,7.57,7.71,7.55,7.63,772582.0,711018266.07
2024-01-15,000001.SZ,7.6,7.73,7.57,7.65,745133.0,685950951.45
2024-01-16,000001.SZ,7.63,7.79,7.6,7.78,1438313.0,1334465408.53
2024-01-17,000001.SZ,7.77,7.83,7.67,7.67,1482296.0,1380725065.03
2024-01-18,000001.SZ,7.65,7.68,7.44,7.64,1755132.0,1597853726.63
2024-01-19,000001.SZ,7.6,7.64,7.54,7.61,963981.0,881865023.89
2024-01-22,000001.SZ,7.6,7.7,7.48,7.54,1580320.0,1449858241.68
2024-01-23,000001.SZ,7.49,7.62,7.4,7.6,1135545.0,1030898421.04
2024-01-24,000001.SZ,7.67,7.78,7.51,7.77,1759123.0,1620099272.06
2024-01-25,000001.SZ,7.77,7.98,7.71,7.94,2162514.0,2037648413.07
2024-01-26,000001.SZ,7.91,8.11,7.88,8.06,2272287.0,2172799799.01
2024-01-29,000001.SZ,8.13,8.32,8.02,8.14,2376252.0,2312173346.33
2024-01-30,000001.SZ,8.05,8.14,7.93,7.94,1579122.0,1515156603.96
2024-01-31,000001.SZ,7.9,8.0,7.82,7.9,1357217.0,1286857396.81
2024-02-01,000001.SZ,7.85,7.92,7.78,7.85,1055260.0,993481907.01
2024-02-02,000001.SZ,7.86,7.91,7.51,7.71,1634214.0,1520605694.69
2024-02-05,000001.SZ,7.63,7.87,7.55,7.82,1803592.0,1674566499.46
2024-02-06,000001.SZ,7.74,8.12,7.73,8.12,1995410.0,1900324218.2
2024-02-07,000001.SZ,8.06,8.11,7.92,8.05,2062015.0,1975435102.12
2024-02-08,000001.SZ,8.02,8.11,7.96,8.11,1656814.0,1593505690.13
2024-02-19,000001.SZ,8.2,8.25,8.09,8.25,1605243.0,1564088444.93
2024-02-20,000001.SZ,8.23,8.28,8.17,8.26,1123564.0,1098987813.26
2024-02-21,000001.SZ,8.22,9.24,8.21,9.24,5055285.0,5295259396.81
2024-02-22,000001.SZ,9.09,9.35,9.06,9.34,4922325.0,5307736374.06
2024-02-23,000001.SZ,9.32,9.68,9.28,9.29,3567480.0,3917316281.52
2024-02-26,000001.SZ,9.22,9.32,8.94,8.97,2862609.0,3048205024.78
2024-02-27,000001.SZ,8.93,9.04,8.9,8.94,1981905.0,2083027074.06
2024-02-28,000001.SZ,8.95,9.14,8.84,8.93,3082693.0,3253340358.41
2024-02-29,000001.SZ,8.86,9.03,8.85,9.03,1845344.0,1936020982.56
2024-03-01,000001.SZ,9.03,9.04,8.87,8.93,1828103.0,1917689306.77
2024-03-04,000001.SZ,8.89,8.94,8.76,8.77,1655930.0,1719562862.03
2024-03-05,000001.SZ,8.74,8.91,8.7,8.87,1817319.0,1889144330.16
2024-03-06,000001.SZ,8.84,8.89,8.77,8.77,1345640.0,1396940060.42
2024-03-07,000001.SZ,8.77,9.08,8.77,8.82,2016166.0,2109589237.19
2024-03-08,000001.SZ,8.79,8.88,8.74,8.82,1113974.0,1154491251.23
2024-03-11,000001.SZ,8.82,8.91,8.78,8.91,1210673.0,1260212019.66
2024-03-12,000001.SZ,8.92,9.03,8.85,9.0,1641262.0,1721999708.11
2024-03-13,000001.SZ,8.97,8.99,8.74,8.77,1768039.0,1834654994.4
2024-03-14,000001.SZ,8.74,8.82,8.64,8.67,1409400.0,1448499697.91
2024-03-15,000001.SZ,8.99,9.19,8.94,9.04,3750208.0,3973799130.9
2024-03-18,000001.SZ,9.0,9.05,8.93,8.98,1671397.0,1761249149.98
2024-03-19,000001.SZ,8.97,8.98,8.83,8.84,1293216.0,1351069630.23
2024-03-20,000001.SZ,8.82,8.91,8.81,8.89,872663.0,910278572.98
2024-03-21,000001.SZ,8.89,8.96,8.86,8.91,864466.0,905422293.67
2024-03-22,000001.SZ,8.89,8.89,8.75,8.8,1028142.0,1065535606.11
2024-03-25,000001.SZ,8.79,8.93,8.76,8.84,953202.0,993304120.45
2024-03-26,000001.SZ,8.89,9.1,8.86,9.04,1740021.0,1835376190.72
2024-03-27,000001.SZ,9.0,9.07,8.95,8.97,1274136.0,1347397150.36
2024-03-28,000001.SZ,8.95,9.01,8.82,8.93,1302189.0,1362980388.48
2024-03-29,000001.SZ,8.89,9.01,8.87,8.96,872759.0,917332315.96
2024-04-01,000001.SZ,8.96,9.09,8.95,9.08,1191088.0,1261770380.39
2024-04-02,000001.SZ,9.07,9.12,8.97,8.99,1085458.0,1149700799.95
2024-04-03,000001.SZ,8.97,8.99,8.86,8.9,981846.0,1028648883.43
2024-04-08,000001.SZ,8.86,8.93,8.81,8.87,906361.0,945290441.32
2024-04-09,000001.SZ,8.87,8.91,8.8,8.84,857157.0,891468991.01
2024-04-10,000001.SZ,8.82,8.85,8.71,8.72,1246391.0,1288696196.29
2024-04-11,000001.SZ,8.68,8.73,8.56,8.69,1010213.0,1030820137.39
2024-04-12,000001.SZ,8.66,8.71,8.48,8.5,1305454.0,1322011753.93
2024-04-15,000001.SZ,8.51,8.76,8.5,8.73,1453203.0,1486326196.01
2024-04-16,000001.SZ,8.72,8.83,8.66,8.72,1478036.0,1523138499.07
2024-04-17,000001.SZ,8.7,9.07,8.65,9.06,2232641.0,2337576586.88
2024-04-18,000001.SZ,9.02,9.47,9.0,9.24,3165914.0,3427338981.81
2024-04-19,000001.SZ,9.15,9.26,9.1,9.13,1457675.0,1562376146.58
2024-04-22,000001.SZ,9.08,9.25,8.89,8.94,2009818.0,2125722741.41
2024-04-23,000001.SZ,8.95,9.09,8.9,8.98,1240027.0,1308866093.13
2024-04-24,000001.SZ,8.96,9.01,8.9,8.97,941568.0,989093538.21
2024-04-25,000001.SZ,8.94,9.06,8.92,9.05,1113812.0,1176304524.86
2024-04-26,000001.SZ,9.03,9.11,8.92,9.04,1607628.0,1698581436.96
2024-04-29,000001.SZ,9.0,9.34,8.96,9.25,2169177.0,2337350883.73
2024-04-30,000001.SZ,9.24,9.32,9.17,9.23,1324557.0,1431407709.37
2024-05-06,000001.SZ,9.4,9.55,9.28,9.33,1784101.0,1953817493.43
2024-05-07,000001.SZ,9.31,9.33,9.2,9.32,1087057.0,1176786412.82
2024-05-08,000001.SZ,9.28,9.32,9.15,9.17,1221791.0,1318611999.65
2024-05-09,000001.SZ,9.15,9.26,9.15,9.2,1069461.0,1150726857.51
2024-05-10,000001.SZ,9.21,9.4,9.2,9.38,1767836.0,1923452176.84
2024-05-13,000001.SZ,9.34,9.45,9.25,9.41,1402499.0,1530058919.54
2024-05-14,000001.SZ,9.44,9.5,9.32,9.35,1075784.0,1176577328.23
2024-05-15,000001.SZ,9.34,9.36,9.25,9.27,868297.0,942907950.5
2024-05-16,000001.SZ,9.29,9.65,9.27,9.61,3076292.0,3410151917.15
2024-05-17,000001.SZ,9.62,9.86,9.57,9.86,2841749.0,3200736554.36
2024-05-20,000001.SZ,9.87,9.97,9.75,9.82,2170210.0,2475290152.11
2024-05-21,000001.SZ,9.76,10.06,9.75,9.99,2030049.0,2336192874.97
2024-05-22,000001.SZ,10.0,10.18,9.9,10.0,2115531.0,2458448969.66
2024-05-23,000001.SZ,9.97,10.03,9.81,9.84,1841623.0,2110799281.76
2024-05-24,000001.SZ,9.81,9.93,9.74,9.75,1398276.0,1593330336.42
2024-05-27,000001.SZ,9.75,9.97,9.75,9.95,1454361.0,1663272117.57
2024-05-28,000001.SZ,9.94,10.02,9.8,9.84,1204323.0,1377107203.91
2024-05-29,000001.SZ,9.82,9.89,9.67,9.7,1444811.0,1635445613.13
2024-05-30,000001.SZ,9.68,9.78,9.5,9.56,1325496.0,1481608711.02
2024-05-31,000001.SZ,9.58,9.63,9.55,9.55,826707.0,921248145.59
2024-06-03,000001.SZ,9.56,9.57,9.35,9.42,1326697.0,1456086023.62
2024-06-04,000001.SZ,9.39,9.49,9.35,9.46,981005.0,1079356560.61
2024-06-05,000001.SZ,9.48,9.51,9.31,9.31,1018968.0,1114155998.81
2024-06-06,000001.SZ,9.34,9.42,9.32,9.34,1049332.0,1145989425.79
2024-06-07,000001.SZ,9.36,9.45,9.33,9.43,1170126.0,1281662985.8
2024-06-11,000001.SZ,9.42,9.46,9.23,9.31,1337629.0,1452841956.89
2024-06-12,000001.SZ,9.29,9.35,9.22,9.32,957426.0,1037927497.39
2024-06-13,000001.SZ,9.33,9.37,9.24,9.24,1203508.0,1304403407.05
2024-06-14,000001.SZ,9.31,9.39,9.15,9.34,1637990.0,1657433954.94
2024-06-17,000001.SZ,9.29,9.32,9.24,9.26,681217.0,688669914.12
2024-06-18,000001.SZ,9.27,9.32,9.2,9.24,700653.0,707829471.51
2024-06-19,000001.SZ,9.26,9.37,9.24,9.31,796184.0,807676192.22
2024-06-20,000001.SZ,9.32,9.33,9.21,9.21,629628.0,635070262.4
2024-06-21,000001.SZ,9.21,9.25,9.11,9.16,830545.0,831176895.42
2024-06-24,000001.SZ,9.13,9.23,9.04,9.14,947082.0,944907465.65
2024-06-25,000001.SZ,9.15,9.29,9.14,9.24,769993.0,775332071.89
2024-06-26,000001.SZ,9.22,9.29,9.18,9.24,628599.0,633763882.09
2024-06-27,000001.SZ,9.22,9.37,9.16,9.29,928882.0,938954397.5
2024-06-28,000001.SZ,9.26,9.42,9.25,9.31,918090.0,933947813.42
2024-07-01,000001.SZ,9.25,9.51,9.2,9.51,1343051.0,1372549619.58
2024-07-02,000001.SZ,9.46,9.64,9.44,9.56,1384386.0,1440864390.61
2024-07-03,000001.SZ,9.56,9.59,9.45,9.47,713067.0,737326421.16
2024-07-04,000001.SZ,9.46,9.54,9.41,9.42,735044.0,757464386.79
2024-07-05,000001.SZ,9.42,9.45,9.08,9.13,1713354.0,1721256576.49
2024-07-08,000001.SZ,9.1,9.18,9.01,9.09,868660.0,864791776.33
2024-07-09,000001.SZ,9.1,9.26,9.07,9.23,1032485.0,1034316510.76
2024-07-10,000001.SZ,9.23,9.36,9.21,9.3,873865.0,886626727.3
2024-07-11,000001.SZ,9.37,9.39,9.23,9.29,721392.0,731789332.33
2024-07-12,000001.SZ,9.28,9.47,9.28,9.47,1214164.0,1246877665.6
2024-07-15,000001.SZ,9.47,9.51,9.42,9.49,869412.0,896975833.16
2024-07-16,000001.SZ,9.49,9.53,9.4,9.46,943008.0,971564894.83
2024-07-17,000001.SZ,9.46,9.58,9.44,9.56,1220168.0,1266412580.0
2024-07-18,000001.SZ,9.54,9.59,9.46,9.57,1087061.0,1127365070.67
2024-07-19,000001.SZ,9.54,9.58,9.45,9.53,898723.0,929722661.62
2024-07-22,000001.SZ,9.52,9.54,9.35,9.39,994481.0,1018663805.8
2024-07-23,000001.SZ,9.41,9.49,9.32,9.34,1020154.0,1046994471.4
2024-07-24,000001.SZ,9.34,9.4,9.28,9.29,724518.0,736332832.11
2024-07-25,000001.SZ,9.28,9.31,9.16,9.25,856404.0,861750365.54
