symbol,name,market,csv
920270.SH,天铭科技,A股,..\data\a_share\920270.SH.csv
920438.SH,戈碧迦,A股,..\data\a_share\920438.SH.csv
301028.SZ,鼎熔岩,A股,..\data\a_share\301028.SZ.csv
300488.SZ,恒锋工具,A股,..\data\a_share\300488.SZ.csv
688260.SH,昀冢科技,A股,..\data\a_share\688260.SH.csv
300283.SZ,温州宏丰,A股,..\data\a_share\300283.SZ.csv
301183.SZ,东田微,A股,..\data\a_share\301183.SZ.csv
688818.SH,电科蓝天,A股,..\data\a_share\688818.SH.csv
300258.SZ,精锻科技,A股,..\data\a_share\300258.SZ.csv
300716.SZ,*ST泉为,A股,..\data\a_share\300716.SZ.csv
301369.SZ,联动科技,A股,..\data\a_share\301369.SZ.csv
920036.SH,觅睿科技,A股,..\data\a_share\920036.SH.csv
301666.SZ,大普微-UW,A股,..\data\a_share\301666.SZ.csv
300736.SZ,百邦科技,A股,..\data\a_share\300736.SZ.csv
301030.SZ,*ST仕净,A股,..\data\a_share\301030.SZ.csv
688033.SH,*ST天宜,A股,..\data\a_share\688033.SH.csv
688523.SH,航天环宇,A股,..\data\a_share\688523.SH.csv
688655.SH,迅捷兴,A股,..\data\a_share\688655.SH.csv
688017.SH,绿的谐波,A股,..\data\a_share\688017.SH.csv
301387.SZ,光大同创,A股,..\data\a_share\301387.SZ.csv
688096.SH,京源环保,A股,..\data\a_share\688096.SH.csv
300106.SZ,西部牧业,A股,..\data\a_share\300106.SZ.csv
300819.SZ,聚杰微纤,A股,..\data\a_share\300819.SZ.csv
300247.SZ,融捷健康,A股,..\data\a_share\300247.SZ.csv
301696.SZ,三瑞智能,A股,..\data\a_share\301696.SZ.csv
688693.SH,锴威特,A股,..\data\a_share\688693.SH.csv
300839.SZ,博汇股份,A股,..\data\a_share\300839.SZ.csv
688449.SH,联芸科技,A股,..\data\a_share\688449.SH.csv
688001.SH,华兴源创,A股,..\data\a_share\688001.SH.csv
920002.SH,万达轴承,A股,..\data\a_share\920002.SH.csv
300840.SZ,酷特智能,A股,..\data\a_share\300840.SZ.csv
920028.SH,新恒泰,A股,..\data\a_share\920028.SH.csv
300671.SZ,富满微,A股,..\data\a_share\300671.SZ.csv
688048.SH,长光华芯,A股,..\data\a_share\688048.SH.csv
920078.SH,族兴新材,A股,..\data\a_share\920078.SH.csv
688511.SH,天微电子,A股,..\data\a_share\688511.SH.csv
688783.SH,西安奕材-U,A股,..\data\a_share\688783.SH.csv
300834.SZ,星辉环材,A股,..\data\a_share\300834.SZ.csv
300095.SZ,华伍股份,A股,..\data\a_share\300095.SZ.csv
301111.SZ,粤万年青,A股,..\data\a_share\301111.SZ.csv
920571.SH,国航远洋,A股,..\data\a_share\920571.SH.csv
000839.SZ,国安股份,A股,..\data\a_share\000839.SZ.csv
300983.SZ,尤安设计,A股,..\data\a_share\300983.SZ.csv
600076.SH,康欣新材,A股,..\data\a_share\600076.SH.csv
600724.SH,宁波富达,A股,..\data\a_share\600724.SH.csv
603028.SH,赛福天,A股,..\data\a_share\603028.SH.csv
600222.SH,太龙药业,A股,..\data\a_share\600222.SH.csv
002642.SZ,荣联科技,A股,..\data\a_share\002642.SZ.csv
000720.SZ,新能泰山,A股,..\data\a_share\000720.SZ.csv
600984.SH,建设机械,A股,..\data\a_share\600984.SH.csv
600480.SH,凌云股份,A股,..\data\a_share\600480.SH.csv
603278.SH,大业股份,A股,..\data\a_share\603278.SH.csv
600748.SH,上实发展,A股,..\data\a_share\600748.SH.csv
002798.SZ,帝欧水华,A股,..\data\a_share\002798.SZ.csv
603878.SH,武进不锈,A股,..\data\a_share\603878.SH.csv
605169.SH,洪通燃气,A股,..\data\a_share\605169.SH.csv
600683.SH,京投发展,A股,..\data\a_share\600683.SH.csv
000678.SZ,襄阳轴承,A股,..\data\a_share\000678.SZ.csv
600589.SH,大位科技,A股,..\data\a_share\600589.SH.csv
600992.SH,贵绳股份,A股,..\data\a_share\600992.SH.csv
000782.SZ,恒申新材,A股,..\data\a_share\000782.SZ.csv
002624.SZ,完美世界,A股,..\data\a_share\002624.SZ.csv
002474.SZ,榕基软件,A股,..\data\a_share\002474.SZ.csv
603012.SH,创力集团,A股,..\data\a_share\603012.SH.csv
002965.SZ,祥鑫科技,A股,..\data\a_share\002965.SZ.csv
600130.SH,波导股份,A股,..\data\a_share\600130.SH.csv
603937.SH,丽岛新材,A股,..\data\a_share\603937.SH.csv
002629.SZ,仁智股份,A股,..\data\a_share\002629.SZ.csv
605566.SH,福莱蒽特,A股,..\data\a_share\605566.SH.csv
600855.SH,航天长峰,A股,..\data\a_share\600855.SH.csv
600783.SH,鲁信创投,A股,..\data\a_share\600783.SH.csv
000710.SZ,贝瑞基因,A股,..\data\a_share\000710.SZ.csv
002866.SZ,传艺科技,A股,..\data\a_share\002866.SZ.csv
002865.SZ,钧达股份,A股,..\data\a_share\002865.SZ.csv
603400.SH,华之杰,A股,..\data\a_share\603400.SH.csv
603373.SH,安邦护卫,A股,..\data\a_share\603373.SH.csv
000547.SZ,航天发展,A股,..\data\a_share\000547.SZ.csv
002930.SZ,宏川智慧,A股,..\data\a_share\002930.SZ.csv
603667.SH,五洲新春,A股,..\data\a_share\603667.SH.csv
600343.SH,航天动力,A股,..\data\a_share\600343.SH.csv
002491.SZ,通鼎互联,A股,..\data\a_share\002491.SZ.csv
002902.SZ,铭普光磁,A股,..\data\a_share\002902.SZ.csv
002256.SZ,兆新股份,A股,..\data\a_share\002256.SZ.csv
603636.SH,南威软件,A股,..\data\a_share\603636.SH.csv
002655.SZ,共达电声,A股,..\data\a_share\002655.SZ.csv
600234.SH,科新发展,A股,..\data\a_share\600234.SH.csv
002281.SZ,光迅科技,A股,..\data\a_share\002281.SZ.csv
002317.SZ,众生药业,A股,..\data\a_share\002317.SZ.csv
002979.SZ,雷赛智能,A股,..\data\a_share\002979.SZ.csv
603459.SH,红板科技,A股,..\data\a_share\603459.SH.csv
002132.SZ,恒星科技,A股,..\data\a_share\002132.SZ.csv
002222.SZ,福晶科技,A股,..\data\a_share\002222.SZ.csv
002929.SZ,润建股份,A股,..\data\a_share\002929.SZ.csv
600936.SH,北投科技,A股,..\data\a_share\600936.SH.csv
